order_id,order_date,customer_id,shipping_method_id,dest_address_id
1,2024-09-24 21:56:43,1032,2,1
2,2022-02-16 06:01:38,1425,1,1
3,2023-03-27 23:10:51,1623,3,1
4,2022-10-08 12:21:32,1637,3,1
5,2024-11-30 12:21:30,170,1,2
6,2024-12-05 13:44:51,405,3,2
7,2023-11-11 16:08:53,916,2,2
8,2024-06-10 01:15:05,449,3,3
9,2024-01-22 08:36:54,816,4,3
10,2023-07-29 18:35:34,389,4,4
11,2023-10-29 21:53:54,1210,3,5
12,2023-12-23 18:54:00,1324,3,5
13,2024-07-24 04:11:13,1917,4,5
14,2022-04-26 15:37:09,333,4,6
15,2022-05-25 05:15:06,470,3,6
16,2023-02-02 17:22:34,895,2,6
17,2023-08-01 05:02:59,1397,3,6
18,2023-09-03 21:43:40,1879,3,6
19,2024-01-01 17:32:58,246,1,7
20,2023-05-30 04:03:41,1084,2,7
21,2024-03-07 01:23:12,1710,2,7
22,2023-03-12 23:57:45,1792,1,7
23,2024-07-01 20:58:46,44,2,8
24,2022-03-16 01:07:00,351,4,8
25,2023-10-12 10:34:19,356,3,8
26,2023-06-01 08:59:06,620,1,8
27,2023-04-20 13:44:02,714,4,8
28,2024-05-27 22:15:01,427,3,9
29,2022-06-07 21:19:03,1401,2,9
30,2023-01-02 22:57:06,711,3,10
31,2024-08-22 14:23:25,1191,4,10
32,2023-08-07 05:01:10,209,1,11
33,2025-01-03 00:01:34,757,4,11
34,2022-03-18 13:29:32,1843,2,11
35,2022-05-07 02:17:00,62,2,12
36,2023-02-10 04:07:29,372,4,12
37,2024-05-31 19:59:10,904,3,12
38,2024-05-06 16:47:07,1678,2,12
39,2023-04-15 05:12:45,1714,3,12
40,2024-09-25 06:08:27,15,4,13
41,2022-10-30 07:55:50,424,2,13
42,2024-07-22 09:34:52,672,1,13
43,2023-07-27 00:50:05,322,2,14
44,2022-03-13 11:47:54,931,2,14
45,2023-01-19 10:49:23,1103,2,14
46,2024-08-18 13:37:25,1211,2,14
