history_id,order_id,status_id,status_date
1,1,1,2024-09-24 23:31:25
2,2,1,2022-02-16 12:22:01
3,3,1,2023-03-28 02:08:38
4,4,1,2022-10-08 20:09:19
5,5,1,2024-11-30 18:27:07
6,6,1,2024-12-05 20:49:34
7,7,1,2023-11-11 21:15:36
8,8,1,2024-06-10 05:34:35
9,9,1,2024-01-22 14:54:13
10,10,1,2023-07-30 01:03:39
11,11,1,2023-10-29 23:22:23
12,12,1,2023-12-24 06:52:10
13,13,1,2024-07-24 11:36:36
14,14,1,2022-04-26 16:49:35
15,15,1,2022-05-25 13:01:06
16,16,1,2023-02-03 04:35:16
17,17,1,2023-08-01 13:48:32
18,18,1,2023-09-04 07:53:20
19,19,1,2024-01-01 18:04:39
20,20,1,2023-05-30 12:13:05
21,21,1,2024-03-07 04:35:09
22,22,1,2023-03-13 03:29:17
23,23,1,2024-07-02 05:00:39
24,24,1,2022-03-16 06:41:47
25,25,1,2023-10-12 14:22:36
26,26,1,2023-06-01 11:16:12
27,27,1,2023-04-20 13:44:39
28,28,1,2024-05-28 03:26:48
29,29,1,2022-06-07 23:16:07
30,30,1,2023-01-03 05:07:07
31,31,1,2024-08-22 15:22:17
32,32,1,2023-08-07 15:25:28
33,33,1,2025-01-03 01:06:29
34,34,1,2022-03-18 23:41:13
35,35,1,2022-05-07 14:00:42
36,36,1,2023-02-10 08:10:55
37,37,1,2024-06-01 05:05:15
38,38,1,2024-05-07 02:07:16
39,39,1,2023-04-15 12:35:12
40,40,1,2024-09-25 15:00:19
41,41,1,2022-10-30 18:07:48
42,42,1,2024-07-22 09:59:05
43,43,1,2023-07-27 08:15:19
44,44,1,2022-03-13 23:41:26
45,45,1,2023-01-19 12:01:21
46,46,1,2024-08-18 19:56:40
47,47,1,2022-12-25 07:37:04
48,48,1,2022-05-24 05:14:22
49,49,1,2023-01-21 14:14:20
50,50,1,2022-12-19 09:25:02
51,51,1,2024-04-01 17:03:17
52,52,1,2022-07-09 18:22:39
53,53,1,2023-01-18 22:09:08
54,54,1,2024-09-08 16:25:43
55,55,1,2024-01-29 03:49:02
56,56,1,2024-09-12 14:56:47
57,57,1,2024-01-14 09:42:11
58,58,1,2023-10-23 09:11:56
59,59,1,2022-06-23 17:51:59
60,60,1,2023-03-15 08:30:04
61,61,1,2024-12-14 14:27:35
62,62,1,2024-10-05 05:14:18
63,63,1,2023-04-25 09:05:50
64,64,1,2024-07-14 04:59:59
65,65,1,2024-10-07 00:19:51
66,66,1,2024-03-07 21:17:19
67,67,1,2023-01-03 21:42:40
68,68,1,2023-12-08 15:43:55
69,69,1,2022-02-16 14:50:11
70,70,1,2024-06-05 02:19:23
71,71,1,2024-06-01 04:33:32
72,72,1,2024-07-02 15:12:03
73,73,1,2023-03-21 15:12:55
74,74,1,2025-01-22 06:49:08
75,75,1,2023-08-13 00:49:13
76,76,1,2024-07-20 13:26:31
77,77,1,2022-05-22 17:22:41
78,78,1,2023-10-31 08:10:24
79,79,1,2022-09-20 11:28:19
80,80,1,2024-08-09 20:14:37
81,81,1,2022-07-04 20:38:10
82,82,1,2022-08-03 12:30:04
83,83,1,2025-01-10 16:54:50
84,84,1,2022-09-12 04:25:41
85,85,1,2022-05-22 12:15:35
86,86,1,2022-07-14 09:57:00
87,87,1,2025-01-19 03:49:45
88,88,1,2023-08-23 16:00:06
89,89,1,2022-02-28 12:03:29
90,90,1,2024-09-11 20:56:59
91,91,1,2023-03-30 11:12:39
92,92,1,2023-10-06 03:07:04
93,93,1,2022-09-23 16:26:06
