line_id,order_id,book_id,price
1,1669,7010,0.71
2,1521,3208,6.69
3,1996,8990,0.72
4,2274,8422,13.52
5,765,1223,10.42
6,4860,3057,16.22
7,6907,2566,14.4
8,8954,10108,7.65
9,1874,2071,15.67
10,1916,4004,8.96
11,541,1793,9.23
12,4636,9165,14.68
13,6683,2221,15.91
14,8730,4216,10.16
15,9753,4480,9.79
16,1131,2675,14.66
17,5226,10496,10.36
18,7273,8463,4.97
19,1020,10694,1.2
20,5115,4632,18.03
21,7162,2874,11.74
22,1467,1788,0.84
23,2022,8096,10.25
24,5562,4218,7.17
25,2212,7279,3.92
26,230,199,10.02
27,355,5012,15.0
28,4325,4438,14.88
29,4450,5819,7.67
30,6372,3869,11.77
31,6497,10006,14.62
32,8419,10645,11.82
33,8544,940,12.99
34,9442,11056,0.4
35,9567,1329,10.74
36,10465,3635,0.45
37,10590,1469,11.86
38,10976,6320,1.23
39,40,6718,16.69
40,199,4008,5.96
41,1428,4552,3.03
42,2337,5910,4.01
43,4135,4553,8.89
44,4294,11072,12.84
45,5523,2495,3.9
46,6182,3372,18.6
47,6341,8243,18.28
48,8229,3878,20.0
49,8388,10613,15.39
50,9252,10976,12.47
51,9411,1762,18.42
52,10275,1450,17.76
53,10434,552,11.67
54,10786,8554,1.87
55,10945,1797,10.53
56,11297,1655,3.27
57,11424,4139,7.38
58,544,8105,10.71
59,1869,5478,17.1
60,4639,8878,8.49
61,6686,8110,7.42
62,8733,7430,4.52
63,9756,1415,19.15
64,895,4510,3.09
65,4990,6198,6.42
66,7037,10406,14.25
67,9084,8413,12.87
68,509,10561,16.31
69,4604,2556,14.04
70,6651,9143,0.04
71,8698,6071,14.43
72,9721,10803,13.8
73,1032,5976,12.31
74,5127,5178,9.62
75,7174,92,11.97
76,1455,10772,0.9
77,5550,3570,9.38
78,2043,4250,10.06
79,1080,4118,6.82
80,5175,6610,18.96
81,7222,10645,18.8
82,1167,9246,6.68
83,5262,1977,17.72
84,7309,9971,16.47
85,2382,4763,13.41
86,1159,760,6.6
87,5254,4951,4.7
88,7301,9340,9.85
89,613,10509,4.89
90,4708,4342,4.34
91,6755,10167,18.37
92,8802,9460,9.93
93,51,10356,3.29
94,413,349,13.25
95,892,2425,2.05
96,2322,9556,19.73
97,4146,3969,16.47
98,4508,535,15.38
99,4987,7807,4.02
100,6193,10006,17.88
101,6555,8594,3.59
102,7034,6462,7.3
103,8240,921,6.37
104,8602,3842,15.41
105,9081,9077,15.36
106,9263,4372,13.21
107,9625,1372,12.7
108,10286,8966,2.47
109,10797,2232,12.64
110,11308,6223,17.99
111,2029,9133,8.1
112,1183,6256,11.93
113,5278,3279,13.69
114,7325,5997,12.82
115,654,6538,0.3
116,4749,3488,10.43
117,6796,7426,15.44
118,8843,9557,19.56
119,1776,3497,12.73
120,418,2668,5.79
121,4513,8092,15.36
122,6560,7337,19.85
123,8607,10946,18.84
124,9630,8430,19.26
125,2424,6019,16.33
126,1751,5102,16.88
127,721,9389,13.75
128,1441,10084,9.37
129,4816,6950,14.34
130,5536,7909,8.06
131,6863,9831,4.17
132,8910,4354,6.62
133,893,5367,8.36
134,1645,7146,19.15
135,4988,9588,8.71
136,7035,6587,13.07
137,9082,5481,10.04
138,490,353,13.05
139,4585,1876,17.69
140,6632,10213,18.71
141,8679,10275,16.22
142,9702,3165,19.78
143,191,1030,9.9
144,2103,2209,10.13
145,4286,10439,3.41
146,6333,435,13.66
147,8380,3320,8.85
148,9403,3531,5.18
149,10426,3823,18.81
150,10937,7473,10.73
151,2308,7440,14.66
152,23,7338,1.97
153,750,5711,5.42
154,4118,9084,5.37
155,4845,9932,13.16
156,6165,6822,1.82
157,6892,6843,16.05
158,8212,1853,8.51
159,8939,6992,17.31
160,9235,4909,12.2
161,10258,8093,16.13
162,10769,9453,16.58
163,11280,6623,9.8
164,11407,7386,16.99
165,787,2843,14.58
166,4882,9787,4.21
167,6929,4598,8.7
168,8976,10406,7.43
169,1941,567,2.81
170,1507,6122,6.58
171,1740,11067,19.73
172,754,10545,15.6
173,4849,618,18.77
174,6896,5842,16.2
175,8943,5290,18.94
176,896,3427,13.99
177,1559,6372,15.31
178,4991,1214,4.99
179,7038,10226,16.95
180,9085,5338,17.13
181,352,9386,12.96
182,470,7903,12.14
183,533,10052,13.93
184,2467,8592,15.43
185,4447,6030,7.89
186,4565,3846,10.91
187,4628,7681,16.3
188,6494,51,11.55
189,6612,9725,12.75
190,6675,6294,18.31
191,8541,9806,13.19
192,8659,7279,5.84
193,8722,5541,12.27
194,9564,6380,0.53
195,9682,4591,19.67
196,9745,7559,8.93
197,10587,2166,12.67
198,1211,6490,0.32
199,1423,3679,12.1
200,5306,368,7.0
201,5518,7246,4.12
202,332,851,15.28
203,1410,6579,13.28
204,1493,6078,14.79
205,4427,640,1.4
206,5505,1964,13.46
207,5588,9304,3.23
208,6474,3319,0.14
209,8521,1573,13.7
210,9544,21,19.07
211,10567,8481,19.01
212,1683,5183,9.55
213,2098,11009,10.3
214,1744,6754,9.8
215,1350,6998,13.5
216,5445,5419,8.21
217,147,6594,14.61
218,849,9746,3.75
219,4242,3443,19.69
220,4944,11076,0.46
221,6289,1427,11.45
222,6991,5318,13.44
223,8336,10307,12.31
224,9038,3329,12.98
225,9359,3869,15.83
226,10382,10169,3.91
227,10893,2615,11.78
228,206,2667,8.63
229,1021,4886,18.01
230,4301,2061,4.49
231,5116,6310,3.24
232,6348,1202,1.09
233,7163,10544,11.51
234,8395,373,8.83
235,9418,1188,4.19
236,10441,8091,0.15
237,10952,9526,5.16
238,35,8040,16.76
239,4130,257,12.02
240,6177,10402,17.44
241,8224,6171,3.15
242,9247,1385,2.98
243,10270,4146,8.31
244,10781,10678,11.04
245,11292,9807,15.01
246,11419,1211,5.84
247,1632,1493,15.89
248,1145,6336,9.28
249,5240,6802,13.3
250,7287,5458,9.15
251,1963,9092,14.25
252,1720,1249,8.46
253,2092,8647,12.35
254,445,8419,18.61
255,4540,4256,2.42
256,6587,5081,18.41
257,8634,2598,8.11
258,9657,3631,8.31
259,1834,1099,4.94
260,2184,10450,19.1
261,560,10640,18.34
262,4655,7972,16.62
263,6702,68,10.74
264,8749,7419,14.46
265,9772,6834,18.04
266,1782,7433,12.68
267,192,1846,18.54
268,4287,1543,18.23
269,6334,1570,19.42
270,8381,4811,4.97
271,9404,10512,19.58
272,10427,668,7.26
273,10938,7078,1.82
274,343,6081,9.2
275,4438,7339,18.37
276,6485,6818,6.18
277,8532,7860,12.11
278,9555,10092,14.39
279,10578,9748,4.44
280,1278,5369,14.92
281,5373,3147,3.52
282,2329,341,12.51
283,84,398,6.04
284,4179,4485,2.18
285,6226,3745,7.11
286,8273,8539,15.42
287,9296,6144,8.97
288,10319,6509,11.6
289,10830,1615,19.71
290,11341,5484,10.15
291,755,653,15.42
292,1633,7550,1.6
293,4850,4049,11.59
294,6897,8974,5.88
295,8944,557,7.36
296,963,7686,6.99
297,2115,7509,6.52
298,5058,6736,0.98
299,7105,4769,19.93
300,1535,7739,9.78
301,2453,3979,6.43
302,903,5953,14.21
303,1841,10539,12.09
304,4998,2020,1.87
305,7045,10282,6.79
306,854,10283,12.06
307,4949,2707,8.14
308,6996,3387,6.02
309,9043,6596,1.21
310,2303,5832,8.78
311,315,6935,15.98
312,655,1388,4.54
313,4410,8457,2.39
314,4750,3543,4.66
315,6457,2331,6.97
316,6797,1267,10.48
317,8504,3091,16.35
318,8844,2816,16.27
319,9527,3435,2.05
320,10550,6536,12.58
321,2220,4262,0.56
322,2082,11022,17.39
323,2435,4167,5.29
324,656,2224,4.11
325,2173,4754,10.4
326,4751,3538,0.6
327,6798,2182,17.81
328,8845,9620,13.03
329,1972,7374,7.2
330,363,9024,19.51
331,430,4946,5.92
332,2250,1630,16.89
333,4458,8702,7.55
334,4525,6027,11.51
335,6505,2816,10.77
336,6572,10382,1.0
337,8552,5013,2.05
338,8619,1804,10.05
339,9575,287,12.43
340,9642,340,5.76
341,10598,3878,17.57
342,2201,3851,1.91
343,1710,4886,18.18
344,451,2536,8.25
345,4546,4214,13.12
346,6593,1597,14.99
347,8640,3534,6.79
348,9663,8276,14.02
349,70,3041,5.27
350,1309,5538,13.96
351,4165,11094,17.83
352,5404,5175,13.03
353,6212,9602,7.2
354,8259,2339,19.43
355,9282,2532,4.45
356,10305,4792,9.71
357,10816,1508,4.42
358,11327,7770,16.57
359,650,533,15.08
360,4745,6958,17.31
361,6792,5011,13.12
362,8839,10338,13.55
363,85,6680,19.38
364,2055,489,6.25
365,4180,4797,4.36
366,6227,8854,6.51
367,8274,2667,4.44
368,9297,4361,5.86
369,10320,3227,11.41
370,10831,10935,4.05
371,11342,707,14.21
372,1221,4027,13.56
373,5316,3379,9.7
374,1049,5713,2.25
375,1948,244,15.44
376,5144,8840,13.13
377,7191,10005,10.53
378,1051,10394,1.84
379,1142,7306,0.15
380,5146,751,6.3
381,5237,4143,18.33
382,7193,5192,11.66
383,7284,5728,16.5
384,756,6465,8.6
385,1505,4520,14.83
386,2213,5447,4.46
387,4851,7181,11.17
388,6898,9534,12.17
389,8945,5256,10.72
390,405,2923,14.11
391,2254,8229,11.63
392,4500,7661,13.96
393,6547,4734,0.66
394,8594,9873,6.77
395,9617,336,2.71
396,2384,6537,10.61
397,2485,9916,17.27
398,762,7171,12.63
399,1179,2505,4.6
400,4857,5296,13.79
401,5274,204,0.47
402,6904,708,4.94
403,7321,480,9.5
404,8951,2739,16.11
405,115,3208,0.51
